state,gender,age,political_attn,pid...Selected.Choice,pid...Other.party..please.specify.below....Text,pid_dem,pid_rep,pid_ind,ideo_3...Selected.Choice,ideo_3...Other..please.specify.below....Text,lib_branch,con_branch,mod_branch,education,colleges_closed,kara_gpa,kara_work,james_gpa,james_cf,pk_kennedy,pk_mcconnell,pk_vegas,pk_ssmlegal,race,relig,sleep,prosthetic,blind,deaf,gang_resp,gang_fam,trolling,Thanks.for.helping.us.with.our.academic.research.project..OPTIONAL..Any.last.comments.,saw_captcha,cf_race,cf_spouse,cf_relig,cf_policy,party_assn,inparty,outparty,pcomp,comp_order,viz_cond,comp_party,saw_fts,pid7,ideo7,ideo3,pid3,apivoid.anonymity.is_vpn,blacklisted,missing_ip,duplicated,foreign_ip,funny_ip,counts,troll_count_2,untrustworthy
2,1,1,6,2,,NA,1,NA,1,,2,NA,NA,4,2,1,2,3,1,3,4,2,NA,"1,2",3,0,1,1,1,0,1,3,good,1,white,Karen,coaches his son's youth sports teams,student government,outparty,REPUBLICANS,DEMOCRATS,representative,party_first,,Republican,1,7,2,liberal,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,4,TRUE,TRUE
8,2,2,1,3,,NA,NA,2,1,,1,NA,NA,3,2,1,3,2,1,3,2,3,2,1,13,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",anti-tax demonstrations,control_pos,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,1,4,1,liberal,independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
10,2,3,2,1,,2,NA,NA,2,,NA,NA,1,5,1,1,2,1,1,NA,1,1,NA,1,13,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",anti-tax demonstrations,control_neg,DEMOCRATS,REPUBLICANS,visual,,usa,,0,2,3,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
37,2,1,5,3,,NA,NA,2,2,,NA,NA,2,4,2,1,2,2,2,4,4,1,NA,1,13,1,0,0,0,0,0,1,,1,white,Karen,coaches his son's youth sports teams,living-wage demonstrations,control_neg,DEMOCRATS,REPUBLICANS,representative,group_first,,Democratic,0,4,4,moderate,independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
5,1,1,9,2,,NA,2,NA,3,,NA,2,NA,3,4,2,3,2,1,4,1,1,NA,3,3,0,0,0,0,0,0,1,,1,white,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",anti-tax demonstrations,control_neg,REPUBLICANS,DEMOCRATS,visual,,usa,,0,6,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
39,2,1,9,1,,1,NA,NA,1,,1,NA,NA,4,2,1,3,1,2,NA,1,1,2,1,9,0,0,0,0,0,0,1,Loved the conspiracy theories!,0,white,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,demsreps_real,,1,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
44,1,2,7,2,,NA,1,NA,3,,NA,2,NA,3,2,3,2,3,1,4,2,1,4,1,3,0,0,0,1,0,0,4,none,0,white,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",student government,control_pos,REPUBLICANS,DEMOCRATS,visual,,dems,,1,7,6,conservative,republican,NA,TRUE,FALSE,TRUE,FALSE,TRUE,1,FALSE,TRUE
31,2,1,10,1,,1,NA,NA,1,,1,NA,NA,4,1,2,2,3,2,1,1,1,3,3,3,0,0,0,0,0,0,1,The survey took long to do.I think the base rate is not good enough.,1,black,Karen,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_neg,DEMOCRATS,REPUBLICANS,visual,,demsreps_eq,,1,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
10,1,3,7,2,,NA,2,NA,3,,NA,2,NA,3,3,1,3,2,2,NA,2,1,4,1,2,0,0,0,0,0,0,1,NONE,0,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",anti-tax demonstrations,outparty,REPUBLICANS,DEMOCRATS,visual,,demsreps_eq,,1,6,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
43,1,1,7,3,,NA,NA,2,2,,NA,NA,2,3,3,1,3,2,1,NA,NA,1,2,2,13,0,0,0,0,0,0,2,,1,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,outparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,0,4,4,moderate,independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
11,2,4,9,2,,NA,1,NA,3,,NA,1,NA,4,4,1,1,3,2,1,1,1,NA,1,1,0,0,1,0,0,0,1,no,1,black,Karen,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,outparty,REPUBLICANS,DEMOCRATS,representative,party_first,,Republican,0,7,7,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
34,2,1,2,1,,1,NA,NA,1,,1,NA,NA,3,2,1,3,1,2,1,2,2,4,2,1,0,0,0,0,0,0,1,,1,white,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",anti-tax demonstrations,inparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,1,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
29,2,3,8,3,,NA,NA,1,2,,NA,NA,2,3,3,2,3,2,1,1,2,1,4,1,3,0,0,0,1,0,0,2,"Interesting viewpoints- although it still seems like a lot of surveys on political differences try to force respondents into responding one way to the very left or right. Its hard to answer somethings without wondering if the results skew into trying to shoehorn respondents as either Democrat or Republican. For example, I feel that I am conservative fiscally but very moderate or even liberal on some social policies - such that I do not feel I can be described by either party. 

I think the majority of the population tends to be a combination of both sides, and that the continued shoehorning of ""left and right"" is what causes a majority of problems and conflict in this country today.",1,white,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",living-wage demonstrations,outparty,REPUBLICANS,DEMOCRATS,visual,,demsreps_eq,,1,5,4,moderate,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
26,1,2,6,1,,2,NA,NA,1,,1,NA,NA,3,4,3,3,1,1,2,2,1,2,1,8,0,0,0,0,0,0,1,,0,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_neg,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,0,2,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
19,2,3,7,3,,NA,NA,2,2,,NA,NA,2,2,2,2,2,1,2,4,2,1,4,1,13,0,0,0,0,0,0,1,,1,white,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",living-wage demonstrations,outparty,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,0,4,4,moderate,independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
10,1,1,6,3,,NA,NA,3,1,,1,NA,NA,4,2,2,2,2,2,3,2,1,2,2,1,0,0,0,0,0,0,1,Very interesting survey.,1,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",living-wage demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,demsreps_real,,1,3,1,liberal,democrat,NA,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE
33,1,2,3,3,,NA,NA,2,2,,NA,NA,2,4,4,3,3,3,1,1,1,3,4,1,9,0,0,0,0,0,0,2,I didn't take some of the questions seriously because they were absolutely ridiculous (how could I possibly know the personality traits of everyone in my 'neighborhood' or how many Asians are republicans?). I answered them honestly though. ,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",student government,control_pos,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,0,4,4,moderate,independent,NA,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE
10,2,4,8,1,,1,NA,NA,1,,2,NA,NA,4,1,1,3,2,1,4,2,2,2,1,13,0,0,1,0,0,0,1,no,1,white,Karen,coaches his son's youth sports teams,student government,outparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,0,1,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
46,2,1,8,1,,1,NA,NA,1,,1,NA,NA,4,2,3,3,2,2,2,4,3,3,1,3,0,0,1,0,0,0,1,,1,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,inparty,DEMOCRATS,REPUBLICANS,visual,,usa,,0,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
39,2,2,8,1,,1,NA,NA,1,,1,NA,NA,5,3,2,3,2,2,NA,NA,1,NA,1,8,0,0,0,0,0,0,1,,0,white,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,outparty,DEMOCRATS,REPUBLICANS,visual,,demsreps_eq,,1,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
34,2,3,6,3,,NA,NA,1,2,,NA,NA,3,5,2,2,3,2,3,1,2,3,2,"3,4,6",9,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",anti-tax demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,demsreps_real,,1,5,5,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
47,2,3,5,2,,NA,2,NA,2,,NA,NA,3,4,2,2,3,1,2,2,4,1,2,1,1,0,0,0,0,0,0,1,As far as vision is concerned. I do wear glasses.,1,white,Karen,coaches his son's youth sports teams,living-wage demonstrations,inparty,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,0,6,5,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
23,2,2,7,3,,NA,NA,3,2,,NA,NA,1,3,1,1,1,2,2,1,3,NA,4,1,9,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,control_neg,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,1,3,3,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
44,2,2,9,2,,NA,1,NA,1,,1,NA,NA,1,2,2,1,2,1,1,1,4,2,1,13,0,1,1,1,1,1,3,NO,0,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",anti-tax demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,reps,,1,7,1,liberal,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE
33,1,2,9,1,,1,NA,NA,1,,1,NA,NA,4,2,2,2,3,2,4,1,4,3,2,3,0,1,1,1,1,1,2,good,0,black,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,control_neg,DEMOCRATS,REPUBLICANS,representative,party_first,,Republican,1,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,5,TRUE,TRUE
14,1,2,7,1,,1,NA,NA,1,,1,NA,NA,3,2,1,3,1,2,1,2,1,NA,6,8,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",anti-tax demonstrations,outparty,DEMOCRATS,REPUBLICANS,visual,,dems,,1,1,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
10,1,2,5,1,,2,NA,NA,3,,NA,1,NA,5,2,1,2,3,1,1,1,1,3,1,3,0,0,0,1,0,0,1,ALL GOOD,1,black,Keith,coaches his son's youth sports teams,anti-tax demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,reps,,1,2,7,conservative,democrat,NA,TRUE,FALSE,TRUE,FALSE,TRUE,1,FALSE,TRUE
10,2,2,3,2,,NA,2,NA,2,,NA,NA,3,3,3,2,3,1,2,NA,2,1,2,6,3,0,0,0,0,0,0,1,,1,white,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,inparty,REPUBLICANS,DEMOCRATS,representative,party_first,,Democratic,0,6,5,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
36,1,2,5,3,,NA,NA,2,2,,NA,NA,2,5,1,1,3,2,1,1,1,1,NA,1,10,0,0,0,0,0,0,3,,1,black,Karen,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,inparty,REPUBLICANS,DEMOCRATS,visual,,dems,,0,4,4,moderate,independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
47,2,2,2,2,,NA,2,NA,3,,NA,2,NA,2,2,2,3,3,2,2,NA,2,4,1,1,0,0,0,0,0,0,1,,1,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,control_pos,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,1,6,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
44,1,3,7,3,,NA,NA,3,1,,2,NA,NA,3,2,2,2,2,2,1,1,1,4,1,8,0,0,0,0,0,0,1,,0,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",living-wage demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,demsreps_eq,,0,3,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
29,1,1,2,3,,NA,NA,3,2,,NA,NA,1,3,1,2,3,3,3,3,1,NA,4,1,8,0,0,0,0,0,0,1,,1,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",anti-tax demonstrations,control_neg,DEMOCRATS,REPUBLICANS,representative,group_first,,Democratic,0,3,3,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
19,2,2,6,3,,NA,NA,2,2,,NA,NA,2,4,2,3,3,2,3,NA,1,1,2,1,9,0,0,0,0,0,0,1,,1,black,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,control_neg,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,1,4,4,moderate,independent,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
11,2,2,4,3,,NA,NA,1,2,,NA,NA,3,4,2,1,3,1,2,3,2,2,3,1,3,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,reps,,0,5,5,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
6,2,2,6,1,,2,NA,NA,1,,2,NA,NA,5,2,2,3,2,2,2,1,1,4,1,3,0,0,0,0,0,0,1,,1,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,control_pos,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,0,2,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
48,1,1,10,1,,1,NA,NA,1,,2,NA,NA,3,1,2,1,2,1,1,1,1,4,1,8,0,0,0,0,0,0,1,,0,white,Karen,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",student government,inparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,1,1,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
36,2,2,7,1,,2,NA,NA,1,,1,NA,NA,3,2,1,3,2,2,1,1,1,4,2,13,0,0,0,0,0,0,1,weird questions,1,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,outparty,DEMOCRATS,REPUBLICANS,visual,,dems,,1,2,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
35,2,1,3,2,,NA,2,NA,2,,NA,NA,2,3,3,3,3,2,1,NA,2,2,2,1,3,0,0,0,0,0,0,1,,0,white,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",anti-tax demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,dems,,1,6,4,moderate,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
17,1,2,7,3,,NA,NA,1,3,,NA,2,NA,5,2,1,3,1,2,1,1,1,4,1,1,0,0,0,0,0,0,1,thanks!,1,black,Keith,coaches his son's youth sports teams,living-wage demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,usa,,0,5,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
1,2,1,5,1,,2,NA,NA,1,,2,NA,NA,4,2,2,2,2,2,2,2,1,4,1,9,0,0,0,0,0,0,1,,1,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,inparty,DEMOCRATS,REPUBLICANS,visual,,reps,,1,2,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
43,2,2,8,2,,NA,1,NA,3,,NA,1,NA,3,5,1,3,1,3,1,1,1,3,"1,4",2,0,0,0,0,0,0,1,Have an awesome weekend!,1,white,Karen,coaches his son's youth sports teams,student government,inparty,REPUBLICANS,DEMOCRATS,representative,party_first,,Democratic,0,7,7,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
39,2,2,8,2,,NA,1,NA,3,,NA,2,NA,3,4,2,3,4,2,NA,1,1,3,1,2,0,0,0,0,0,0,1,,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_pos,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,0,7,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
11,1,2,9,2,,NA,2,NA,2,,NA,NA,3,3,2,1,3,2,1,3,1,1,4,1,2,0,0,0,0,0,0,1,,1,white,Karen,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_pos,REPUBLICANS,DEMOCRATS,representative,group_first,,Democratic,1,6,5,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
10,2,4,7,3,,NA,NA,1,3,,NA,2,NA,4,2,3,1,2,2,2,2,2,4,2,2,0,0,0,0,0,0,1,,0,black,Karen,coaches his son's youth sports teams,anti-tax demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,usa,,0,5,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
33,1,2,9,2,,NA,1,NA,1,,1,NA,NA,4,2,2,2,2,3,1,4,1,4,2,3,0,0,0,0,0,1,3,it is good.,1,white,Keith,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,inparty,REPUBLICANS,DEMOCRATS,visual,,dems,,1,7,1,liberal,republican,NA,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE
36,1,4,7,1,,1,NA,NA,1,,2,NA,NA,4,2,1,2,1,3,1,1,1,2,1,8,0,0,0,0,0,0,1,,1,white,Keith,coaches his son's youth sports teams,anti-tax demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,usa,,1,1,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
36,2,2,9,1,,2,NA,NA,1,,2,NA,NA,4,2,1,3,2,2,1,1,1,4,1,8,0,0,0,0,0,0,1,Thanks!,1,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",student government,control_neg,DEMOCRATS,REPUBLICANS,visual,,reps,,1,2,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
33,2,3,3,1,,2,NA,NA,1,,2,NA,NA,4,4,2,2,3,2,NA,NA,1,NA,"1,6",3,0,0,0,0,0,0,1,No other comments.,1,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,outparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Democratic,1,2,2,liberal,democrat,NA,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,TRUE
2,1,1,7,2,,NA,2,NA,3,,NA,2,NA,4,2,2,2,1,3,1,1,1,4,1,2,0,0,0,0,0,0,1,Good.,0,black,Keith,"leads his son's Cub Scouts group, organized through the Baptist Church the family attends",living-wage demonstrations,control_pos,REPUBLICANS,DEMOCRATS,visual,,demsreps_eq,,0,6,6,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
47,1,1,6,2,,NA,2,NA,2,,NA,NA,3,4,2,2,2,1,2,3,NA,1,3,1,4,0,0,0,0,0,0,1,,1,black,Karen,coaches his son's youth sports teams,living-wage demonstrations,inparty,REPUBLICANS,DEMOCRATS,representative,group_first,,Republican,0,6,5,conservative,republican,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
23,1,2,7,1,,1,NA,NA,1,,2,NA,NA,4,1,1,3,1,2,1,1,1,4,1,9,0,0,0,0,0,0,1,,1,white,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",student government,control_neg,DEMOCRATS,REPUBLICANS,visual,,demsreps_eq,,1,1,2,liberal,democrat,NA,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,TRUE
44,1,1,8,1,,2,NA,NA,1,,1,NA,NA,3,1,1,3,1,2,1,1,1,4,6,8,0,0,0,0,0,0,1,"Everything went well, thank you!",1,black,Keith,coaches his son's youth sports teams,living-wage demonstrations,control_pos,DEMOCRATS,REPUBLICANS,visual,,dems,,0,2,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
31,2,1,7,3,,NA,NA,3,1,,1,NA,NA,3,2,1,3,1,3,2,4,1,3,1,9,0,0,1,0,0,0,1,,1,white,Karen,"leads his son's Junior Explorers group, organized through the Secular Families Foundation",living-wage demonstrations,outparty,DEMOCRATS,REPUBLICANS,representative,party_first,,Republican,1,3,1,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE
5,2,3,2,1,,1,NA,NA,1,,2,NA,NA,4,2,1,3,2,2,1,2,2,NA,1,8,0,0,0,0,0,0,1,no,0,white,Keith,coaches his son's youth sports teams,living-wage demonstrations,inparty,DEMOCRATS,REPUBLICANS,representative,group_first,,Republican,0,1,2,liberal,democrat,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE
