kara_gpa,kara_work,dave_gpa,dave_work,james_gpa,james_cf,linda_gpa,linda_cf,num1,num2,num3,num4,state,gender,education,pid - Selected Choice,pid - Other party (please specify below) - Text,pid_dem,pid_rep,pid_ind,political_attn,age,race,relig,"Thanks again for helping with our research. If you have any final questions or comments, feel free to leave them here. Please click through to the next screen to receive your MTurk code.",james_cond,cf_race,cf_spouse,cf_relig,linda,cf_race - Topics,james_dem,james_rep,james_partisan,james_no_cf,james_dem_cf,james_rep_cf,james_cf_n,james_cond_n,linda_cf_n
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 37,0.01,Michigan,Male,Some college,Independent,NA,NA,NA,Closer to Republican,6,30-39,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.10%,New Jersey,Female,Advanced degree,Democrat,NA,Strong Democrat,NA,NA,9,50-64,White/Caucasian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.00 - 3.49,Kara works for a tech company,2.50 - 2.99,Somewhat likely,3.50 - 3.79,James works in sales,2.50 - 2.99,Linda is a bank teller,500,10,1 in 12,0.01,New Jersey,Male,Some college,Independent,NA,NA,NA,Closer to Republican,7,40-49,White/Caucasian,Jewish,no problems,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,0
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Hawaii,Male,Some college,Independent,NA,NA,NA,Closer to Democratic,7,30-39,Asian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a financial company,3.50 - 3.79,Very unlikely,3.80 - 4.00,James works in sales,2.49 or below,Linda is a bank teller,500,10,1 in 12,0.1,Texas,Male,Advanced degree,Democrat,NA,Strong Democrat,NA,NA,10,30-39,White/Caucasian,Atheist,NA,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Florida,Male,High school degree or equivalent,Independent,NA,NA,NA,Neither,2,30-39,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,2.50 - 2.99,Very unlikely,3.80 - 4.00,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,North Carolina,Male,Bachelor's degree,Independent,NA,NA,NA,Closer to Republican,5,40-49,White/Caucasian,Agnostic,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,0
3.50 - 3.79,Kara works for an art museum,3.80 - 4.00,Neither likely nor unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,10,Arkansas,Male,Some college,Independent,NA,NA,NA,Neither,6,18-29,Native American or Alaska Native,Atheist,None,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.00 - 3.49,Kara works for a tech company,2.50 - 2.99,Very unlikely,3.50 - 3.79,James works in sales,3.80 - 4.00,Linda is a bank teller,500,10,1 in 12,0.1,Massachusetts,Male,Advanced degree,Democrat,NA,Strong Democrat,NA,NA,6,40-49,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,2.50 - 2.99,Somewhat unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Florida,Female,Some college,Other party (please specify below),Libertarian,NA,NA,Neither,10,18-29,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,South Carolina,Female,Advanced degree,Democrat,NA,Strong Democrat,NA,NA,9,30-39,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a financial company,3.50 - 3.79,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Wisconsin,Female,Bachelor's degree,Democrat,NA,Strong Democrat,NA,NA,6,18-29,White/Caucasian,Atheist,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,West Virginia,Male,Some college,Independent,NA,NA,NA,Closer to Democratic,9,40-49,White/Caucasian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,Florida,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,3,50-64,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,0
3.80 - 4.00,Kara works for a financial company,3.00 - 3.49,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,California,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,9,30-39,White/Caucasian,Agnostic,Interesting study.,control,white,Karen,NA,liberal,NA,0,0,0,0,0,1,3,Control,1
3.00 - 3.49,Kara works for a tech company,2.50 - 2.99,Very likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,New Jersey,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,4,30-39,Asian,Buddhist,none,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,2.50 - 2.99,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Arizona,Male,Advanced degree,Republican,NA,NA,Strong Republican,NA,10,65+,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,control,white,Karen,NA,conservative,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for a financial company,3.50 - 3.79,Neither likely nor unlikely,3.00 - 3.49,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,10,Connecticut,Male,Bachelor's degree,Independent,NA,NA,NA,Neither,5,18-29,White/Caucasian,Catholic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,1,Michigan,Female,Some college,Democrat,NA,Strong Democrat,NA,NA,5,50-64,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Florida,Female,Some college,Democrat,NA,Strong Democrat,NA,NA,5,40-49,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,control,white,Karen,NA,liberal,NA,0,0,0,0,1,0,1,Control,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,1,1 in 12,0.10%,Michigan,Female,Bachelor's degree,Republican,NA,NA,Not very strong Republican,NA,7,30-39,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,2.50 - 2.99,Very unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Illinois,Male,Advanced degree,Democrat,NA,Not very strong Democrat,NA,NA,9,40-49,"White/Caucasian,Native American or Alaska Native",Catholic,"No comments to share, thank you.",control,white,Karen,NA,conservative,NA,0,0,0,0,0,1,3,Control,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Neither likely nor unlikely,3.00 - 3.49,James works in sales,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Texas,Female,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,8,50-64,Asian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,1,0,0,2,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,400,1,1 in 12,1%,Louisiana,Male,Bachelor's degree,Republican,NA,NA,Not very strong Republican,NA,9,40-49,White/Caucasian,Catholic,NA,control,white,Karen,NA,conservative,NA,0,0,0,0,1,0,1,Control,1
3.50 - 3.79,Kara works for an art museum,3.00 - 3.49,Very likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,1,1 in 12,1,Ohio,Female,Bachelor's degree,Republican,NA,NA,Strong Republican,NA,10,40-49,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Very likely,3.80 - 4.00,James works in sales,3.80 - 4.00,Linda is a bank teller and is active in the feminist movement,333,10,1 in 12,1,Mississippi,Male,Bachelor's degree,Republican,NA,NA,Strong Republican,NA,6,18-29,White/Caucasian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",A2M5XMSHNUA2A,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,1,0,0,2,Representative of Dems.,1
3.50 - 3.79,Kara works for an art museum,2.50 - 2.99,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.001,Florida,Male,Advanced degree,Republican,NA,NA,Strong Republican,NA,8,18-29,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,control,white,Karen,NA,conservative,NA,0,0,0,0,0,1,3,Control,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.01,Florida,Male,Advanced degree,Republican,NA,NA,Not very strong Republican,NA,10,40-49,White/Caucasian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.00 - 3.49,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,New York,Male,Bachelor's degree,Democrat,NA,Not very strong Democrat,NA,NA,7,30-39,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",No issues,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Somewhat unlikely,3.50 - 3.79,James works in sales,3.80 - 4.00,Linda is a bank teller,500,10,1 in 12,0.1,Missouri,Male,Some college,Republican,NA,NA,Strong Republican,NA,10,18-29,White/Caucasian,Catholic,Everything worked fine.,control,white,Karen,NA,conservative,NA,0,0,0,1,0,0,2,Control,0
3.80 - 4.00,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales,3.50 - 3.79,Linda is a bank teller,500,10,1 in 12,0.1,Wisconsin,Male,Some college,Independent,NA,NA,NA,Neither,1,50-64,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,1,0,0,2,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,3.50 - 3.79,Neither likely nor unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Arkansas,Female,Bachelor's degree,Independent,NA,NA,NA,Neither,5,40-49,Asian,"Evangelical Protestant (e.g., Baptist, Pentecostal)",NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,1,1 in 12,1,Missouri,Female,High school degree or equivalent,Independent,NA,NA,NA,Closer to Democratic,9,30-39,White/Caucasian,Atheist,Thanks for letting me participate!,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.80 - 4.00,Kara works for a financial company,2.50 - 2.99,Very unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller,504,10,1 in 12,0.01,Ohio,Female,Advanced degree,Democrat,NA,Not very strong Democrat,NA,NA,9,30-39,White/Caucasian,Agnostic,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",conservative,NA,1,0,1,0,1,0,1,Representative of Dems.,0
3.80 - 4.00,Kara works for a tech company,3.80 - 4.00,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller,500,1,1 in 12,0.01,California,Female,Bachelor's degree,Independent,NA,NA,NA,Closer to Democratic,8,30-39,White/Caucasian,Agnostic,NA,control,white,Karen,NA,conservative,NA,0,0,0,0,1,0,1,Control,0
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Texas,Male,Some college,Republican,NA,NA,Not very strong Republican,NA,5,30-39,Hispanic/Latino,Catholic,n/a,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a tech company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.50 - 3.79,Linda is a bank teller and is active in the feminist movement,501,10,1 in 12,0.1,Montana,Male,Some college,Democrat,NA,Strong Democrat,NA,NA,9,30-39,White/Caucasian,Atheist,NA,dem,black,Keith,"Junior Explorers group, organized through the secular parents' network that Keith and James belong to",liberal,NA,1,0,1,0,1,0,1,Representative of Dems.,1
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.80 - 4.00,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Indiana,Male,Some college,Republican,NA,NA,Not very strong Republican,NA,10,50-64,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a financial company,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Democratic Party,3.00 - 3.49,Linda is a bank teller,100,10,1 in 37,100,California,Female,Some college,Republican,NA,NA,Not very strong Republican,NA,3,18-29,White/Caucasian,Catholic,NA,control,white,Karen,NA,liberal,NA,0,0,0,0,1,0,1,Control,0
3.50 - 3.79,Kara works for a tech company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Florida,Male,Bachelor's degree,Republican,NA,NA,Not very strong Republican,NA,10,30-39,White/Caucasian,"Mainline Protestant (e.g., Presbyterian, Episcopalian)",NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",liberal,NA,0,1,1,0,0,1,3,Representative of Reps.,1
3.50 - 3.79,Kara works for a financial company,3.00 - 3.49,Somewhat unlikely,3.50 - 3.79,James works in sales,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Indiana,Male,High school degree or equivalent,Independent,NA,NA,NA,Closer to Democratic,9,40-49,White/Caucasian,Agnostic,NA,control,white,Karen,NA,liberal,NA,0,0,0,1,0,0,2,Control,1
3.00 - 3.49,Kara works for an art museum,3.50 - 3.79,Somewhat likely,3.50 - 3.79,James works in sales and is an active supporter of the Republican Party,3.00 - 3.49,Linda is a bank teller and is active in the feminist movement,500,10,1 in 12,0.1,Pennsylvania,Male,Some college,Independent,NA,NA,NA,Closer to Republican,6,30-39,White/Caucasian,Agnostic,NA,rep,white,Karen,"Cub Scouts group, organized through the Baptist Church the family attends",conservative,NA,0,1,1,0,0,1,3,Representative of Reps.,1
